Track ID,Track name,Artist name,Popularity,Release year,Category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,duration
1YlATOvX30jKElvHwFCTN7,Why You Always in a Mood,DJ Quarantine,42,2020,Mood,0.821,0.505,5,-9.487,1,0.0632,0.0335,0.0,0.244,0.488,90.981,audio_features,1YlATOvX30jKElvHwFCTN7,spotify:track:1YlATOvX30jKElvHwFCTN7,https://api.spotify.com/v1/tracks/1YlATOvX30jKElvHwFCTN7,https://api.spotify.com/v1/audio-analysis/1YlATOvX30jKElvHwFCTN7,138565,4,2.31
2huiZlrSjqdehvqdwL4kbW,Mood Effects,Melodrama,59,2021,Mood,0.463,0.219,11,-15.739,0,0.042,0.984,0.877,0.0951,0.0683,124.015,audio_features,2huiZlrSjqdehvqdwL4kbW,spotify:track:2huiZlrSjqdehvqdwL4kbW,https://api.spotify.com/v1/tracks/2huiZlrSjqdehvqdwL4kbW,https://api.spotify.com/v1/audio-analysis/2huiZlrSjqdehvqdwL4kbW,65294,3,1.09
5bv7kd7qy62Rl892AgHgd7,Mood,Kidz Bop Kids,36,2021,Mood,0.652,0.719,11,-5.302,0,0.0343,0.259,0.0,0.0743,0.783,90.973,audio_features,5bv7kd7qy62Rl892AgHgd7,spotify:track:5bv7kd7qy62Rl892AgHgd7,https://api.spotify.com/v1/tracks/5bv7kd7qy62Rl892AgHgd7,https://api.spotify.com/v1/audio-analysis/5bv7kd7qy62Rl892AgHgd7,120026,4,2.0
3G0IBzy4fN4rkX5I386r3L,Moody Weirdo,Neck Deep,52,2024,Mood,0.451,0.942,5,-3.447,1,0.0923,3.35e-05,8.86e-06,0.169,0.576,160.027,audio_features,3G0IBzy4fN4rkX5I386r3L,spotify:track:3G0IBzy4fN4rkX5I386r3L,https://api.spotify.com/v1/tracks/3G0IBzy4fN4rkX5I386r3L,https://api.spotify.com/v1/audio-analysis/3G0IBzy4fN4rkX5I386r3L,197667,4,3.29
39XPL6pNEB9qUnHctJClf6,Mood Swings,Teezo Touchdown,47,2023,Mood,0.79,0.658,2,-7.346,1,0.0365,0.143,2.58e-06,0.333,0.675,117.017,audio_features,39XPL6pNEB9qUnHctJClf6,spotify:track:39XPL6pNEB9qUnHctJClf6,https://api.spotify.com/v1/tracks/39XPL6pNEB9qUnHctJClf6,https://api.spotify.com/v1/audio-analysis/39XPL6pNEB9qUnHctJClf6,173613,4,2.89
70msjvZ6xw9eGcjBPI5osG,MOOD,Jessie Reyez,46,2022,Mood,0.658,0.468,8,-6.243,0,0.196,0.223,1.53e-05,0.105,0.616,90.988,audio_features,70msjvZ6xw9eGcjBPI5osG,spotify:track:70msjvZ6xw9eGcjBPI5osG,https://api.spotify.com/v1/tracks/70msjvZ6xw9eGcjBPI5osG,https://api.spotify.com/v1/audio-analysis/70msjvZ6xw9eGcjBPI5osG,179373,4,2.99
1As11cGpiSKQQbNwy43Vtp,Mood (Lofi) - Slowed Version,Yagih Mael,45,2022,Mood,0.718,0.118,9,-22.06,1,0.121,0.874,2.45e-05,0.0837,0.361,127.987,audio_features,1As11cGpiSKQQbNwy43Vtp,spotify:track:1As11cGpiSKQQbNwy43Vtp,https://api.spotify.com/v1/tracks/1As11cGpiSKQQbNwy43Vtp,https://api.spotify.com/v1/audio-analysis/1As11cGpiSKQQbNwy43Vtp,203424,4,3.39
4TXg9mhJ9fLmdQmKY1989J,Mood,dvsn,47,2017,Mood,0.622,0.446,9,-9.647,0,0.22,0.318,0.0144,0.0904,0.168,68.848,audio_features,4TXg9mhJ9fLmdQmKY1989J,spotify:track:4TXg9mhJ9fLmdQmKY1989J,https://api.spotify.com/v1/tracks/4TXg9mhJ9fLmdQmKY1989J,https://api.spotify.com/v1/audio-analysis/4TXg9mhJ9fLmdQmKY1989J,215045,4,3.58
0KpWiHVmIFDTvai20likX4,drunk text,Henry Moodie,84,2023,Mood,0.382,0.401,0,-8.955,1,0.0851,0.286,0.0,0.0851,0.145,185.636,audio_features,0KpWiHVmIFDTvai20likX4,spotify:track:0KpWiHVmIFDTvai20likX4,https://api.spotify.com/v1/tracks/0KpWiHVmIFDTvai20likX4,https://api.spotify.com/v1/audio-analysis/0KpWiHVmIFDTvai20likX4,187263,3,3.12
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,Ice Spice,74,2023,Mood,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,audio_features,0yUaLqhsVsguBpoOPL4cO7,spotify:track:0yUaLqhsVsguBpoOPL4cO7,https://api.spotify.com/v1/tracks/0yUaLqhsVsguBpoOPL4cO7,https://api.spotify.com/v1/audio-analysis/0yUaLqhsVsguBpoOPL4cO7,129362,4,2.16
5jyrtNJBcaFkNyS4yPixkI,Rainy Mood,Sleepy Mood,73,2021,Mood,0.133,0.99,10,-20.689,0,0.0526,0.675,0.98,0.109,0.00689,86.543,audio_features,5jyrtNJBcaFkNyS4yPixkI,spotify:track:5jyrtNJBcaFkNyS4yPixkI,https://api.spotify.com/v1/tracks/5jyrtNJBcaFkNyS4yPixkI,https://api.spotify.com/v1/audio-analysis/5jyrtNJBcaFkNyS4yPixkI,146286,3,2.44
3g6C863vEPs7H14SUGJAhj,Mood,BlueBucksClan,41,2020,Mood,0.741,0.396,6,-14.152,0,0.279,0.0646,1.97e-06,0.0647,0.74,101.079,audio_features,3g6C863vEPs7H14SUGJAhj,spotify:track:3g6C863vEPs7H14SUGJAhj,https://api.spotify.com/v1/tracks/3g6C863vEPs7H14SUGJAhj,https://api.spotify.com/v1/audio-analysis/3g6C863vEPs7H14SUGJAhj,110342,4,1.84
27kaeLB6wRVvsaORS8O96F,Mood,Al James,65,2022,Mood,0.795,0.514,3,-9.84,0,0.138,0.522,0.0111,0.129,0.522,120.099,audio_features,27kaeLB6wRVvsaORS8O96F,spotify:track:27kaeLB6wRVvsaORS8O96F,https://api.spotify.com/v1/tracks/27kaeLB6wRVvsaORS8O96F,https://api.spotify.com/v1/audio-analysis/27kaeLB6wRVvsaORS8O96F,230000,4,3.83
